,0
Contract: Month-to-month,0.65637743
Tenure (months),0.46218553
Internet Service: Fiber optic,0.27779847
Monthly Charges ($),0.24238975
Total Charges ($),0.23449115
Payment Method: Electronic check,0.18407677
Internet Service: No,0.17267264
Contract: Two year,0.15880993
Online Security: Yes,0.14363667
Paperless Billing,0.14264403
Multiple Lines: Yes,0.11815908
Streaming Movies: Yes,0.11619767
Tech Support: Yes,0.112695254
Streaming TV: Yes,0.09767542
Contract: One year,0.08350322
Has Dependents,0.061238
Senior Citizen,0.052025225
Online Backup: Yes,0.051388998
Has Phone Service,0.048434105
Payment Method: Mailed check,0.033769026
Gender: Male,0.029425457
Payment Method: Bank transfer (automatic),0.02223024
Has a Partner,0.020761482
Payment Method: Credit card (automatic),0.018187942
Internet Service: DSL,0.015448211
Device Protection: Yes,0.0044202153
